iter	Passed	Remaining
654	4118	2169
655	4120	2160
656	4124	2153
657	4130	2146
658	4135	2139
659	4143	2134
660	4150	2128
661	4158	2123
662	4163	2116
663	4179	2115
664	4194	2112
665	4207	2110
666	4211	2102
667	4226	2100
668	4231	2093
669	4236	2086
670	4240	2079
671	4249	2074
672	4256	2068
673	4268	2064
674	4283	2062
675	4287	2055
676	4291	2047
677	4296	2040
678	4312	2038
679	4319	2032
680	4326	2026
681	4334	2020
682	4336	2012
683	4340	2005
684	4345	1998
685	4351	1991
686	4358	1985
687	4366	1980
688	4375	1975
689	4381	1968
690	4386	1961
691	4392	1955
692	4397	1948
693	4401	1940
694	4407	1934
695	4411	1926
696	4415	1919
697	4424	1914
698	4429	1907
699	4433	1900
700	4439	1893
701	4450	1889
702	4455	1882
703	4460	1875
704	4466	1868
705	4470	1861
706	4473	1854
707	4476	1846
708	4478	1838
709	4482	1831
710	4486	1823
711	4489	1816
712	4493	1808
713	4497	1801
714	4510	1798
715	4517	1791
716	4521	1784
717	4526	1777
718	4530	1770
719	4534	1763
720	4540	1757
721	4544	1749
722	4549	1742
723	4553	1735
724	4558	1729
725	4563	1722
726	4568	1715
727	4575	1709
728	4578	1702
729	4582	1695
730	4595	1691
731	4610	1687
732	4614	1680
733	4618	1673
734	4622	1666
735	4629	1660
736	4634	1653
737	4638	1646
738	4643	1640
739	4672	1641
740	4685	1637
741	4691	1631
742	4695	1624
743	4699	1617
744	4706	1610
745	4712	1604
746	4726	1600
747	4739	1596
748	4744	1589
749	4758	1586
750	4765	1580
751	4775	1575
752	4834	1585
753	4836	1577
754	4940	1603
755	4945	1596
756	4954	1590
757	4958	1582
758	4962	1575
759	4968	1568
760	4972	1561
761	4975	1553
762	5036	1564
763	5041	1557
764	5045	1549
765	5049	1542
766	5061	1537
767	5079	1534
768	5083	1526
769	5087	1519
770	5092	1512
771	5095	1505
772	5099	1497
773	5108	1491
774	5120	1486
775	5123	1478
776	5126	1471
777	5138	1466
778	5141	1458
779	5143	1450
780	5151	1444
781	5156	1437
782	5160	1430
783	5164	1422
784	5169	1415
785	5194	1414
786	5198	1407
787	5202	1399
788	5206	1392
789	5210	1385
790	5214	1377
791	5217	1370
792	5221	1362
793	5225	1355
794	5229	1348
795	5234	1341
796	5240	1334
797	5245	1327
798	5253	1321
799	5256	1314
800	5269	1309
801	5273	1301
802	5277	1294
803	5303	1292
804	5307	1285
805	5311	1278
806	5315	1271
807	5340	1269
808	5345	1262
809	5375	1260
810	5385	1255
811	5389	1247
812	5393	1240
813	5399	1233
814	5403	1226
815	5406	1219
816	5411	1212
817	5418	1205
818	5420	1197
819	5423	1190
820	5426	1183
821	5428	1175
822	5435	1168
823	5439	1161
824	5443	1154
825	5454	1148
826	5458	1141
827	5462	1134
828	5465	1127
829	5473	1120
830	5483	1115
831	5487	1107
832	5493	1101
833	5497	1094
834	5501	1087
835	5511	1081
836	5514	1074
837	5519	1067
838	5523	1059
839	5526	1052
840	5530	1045
841	5540	1039
842	5544	1032
843	5549	1025
844	5553	1018
845	5557	1011
846	5562	1004
847	5567	997
848	5570	990
849	5576	984
850	5582	977
851	5592	971
852	5598	964
853	5602	957
854	5611	951
855	5617	945
856	5624	938
857	5628	931
858	5632	924
859	5641	918
860	5650	912
861	5654	905
862	5658	898
863	5662	891
864	5666	884
865	5671	877
866	5675	870
867	5679	863
868	5683	856
869	5688	849
870	5694	843
871	5698	836
872	5702	829
873	5707	822
874	5711	815
875	5715	809
876	5719	802
877	5729	796
878	5733	789
879	5738	782
880	5745	776
881	5748	769
882	5756	762
883	5760	755
884	5764	749
885	5768	742
886	5772	735
887	5776	728
888	5780	721
889	5784	714
890	5788	708
891	5792	701
892	5797	694
893	5803	688
894	5817	682
895	5821	675
896	5827	669
897	5831	662
898	5835	655
899	5855	650
900	5859	643
901	5865	637
902	5876	631
903	5879	624
904	5882	617
905	5896	611
906	5901	605
907	5904	598
908	5907	591
909	5911	584
910	5916	578
911	5922	571
912	5936	565
913	5940	558
914	5944	552
915	5949	545
916	5953	538
917	5956	532
918	5969	526
919	5976	519
920	5981	513
921	5986	506
922	5994	500
923	5998	493
924	6002	486
925	6011	480
926	6015	473
927	6018	466
928	6023	460
929	6026	453
930	6029	446
931	6035	440
932	6042	433
933	6045	427
934	6050	420
935	6054	413
936	6058	407
937	6061	400
938	6065	394
939	6070	387
940	6073	380
941	6105	375
942	6119	369
943	6121	363
944	6129	356
945	6134	350
946	6149	344
947	6155	337
948	6159	331
949	6163	324
950	6167	317
951	6171	311
952	6175	304
953	6179	297
954	6182	291
955	6184	284
956	6187	278
957	6191	271
958	6193	264
959	6196	258
960	6199	251
961	6202	245
962	6205	238
963	6210	231
964	6213	225
965	6216	218
966	6220	212
967	6223	205
968	6227	199
969	6230	192
970	6234	186
971	6237	179
972	6241	173
973	6244	166
974	6247	160
975	6251	153
976	6257	147
977	6260	140
978	6263	134
979	6267	127
980	6272	121
981	6275	115
982	6279	108
983	6283	102
984	6287	95
985	6291	89
986	6294	82
987	6298	76
988	6301	70
989	6305	63
990	6308	57
991	6313	50
992	6316	44
993	6320	38
994	6324	31
995	6327	25
996	6331	19
997	6335	12
998	6339	6
999	6343	0
