iter	Logloss
0	0.6730213082
1	0.657037492
2	0.6393133006
3	0.6208006435
4	0.6044209578
5	0.5905739676
6	0.5735953402
7	0.5604609061
8	0.5451888037
9	0.529399619
10	0.5110856163
11	0.4966743779
12	0.4831922833
13	0.4716814157
14	0.4606019482
15	0.445338848
16	0.4343434312
17	0.4204784503
18	0.4080967879
19	0.3993245089
20	0.3905285235
21	0.3809156493
22	0.370635846
23	0.3595884714
24	0.3464222525
25	0.3344102788
26	0.3263536574
27	0.3169761609
28	0.3089362159
29	0.3004403796
30	0.2925102405
31	0.2847459933
32	0.2777989206
33	0.2703480025
34	0.2646324369
35	0.2567850601
36	0.2498645604
37	0.2440738496
38	0.2383317066
39	0.2316626776
40	0.2249272716
41	0.2187556098
42	0.2135158152
43	0.2087695813
44	0.2044385714
45	0.2003071203
46	0.1952279405
47	0.1882918128
48	0.1831918012
49	0.1782098233
50	0.1719401312
51	0.1668079944
52	0.1631425972
53	0.1595816619
54	0.1553402337
55	0.1523617019
56	0.1471024861
57	0.1437071492
58	0.1397397195
59	0.1349751977
60	0.1323879209
61	0.1301376115
62	0.1279140588
63	0.1252012669
64	0.1228891763
65	0.1197185188
66	0.1171324394
67	0.1147684018
68	0.1127310309
69	0.1094596046
70	0.1073739055
71	0.1052684696
72	0.1026816158
73	0.09989050024
74	0.09763650341
75	0.09528860301
76	0.09358951068
77	0.09144176418
78	0.08955212891
79	0.08788737976
80	0.08613299847
81	0.08417615759
82	0.08239352485
83	0.08070832806
84	0.07926099757
85	0.0777713898
86	0.0764267354
87	0.0749431599
88	0.07313263803
89	0.0720361981
90	0.07037730694
91	0.06888676193
92	0.06706082929
93	0.06599583732
94	0.06500645092
95	0.06379433067
96	0.06271717652
97	0.06169600809
98	0.06007583362
99	0.05897547756
100	0.05808763717
101	0.05689427678
102	0.05597830207
103	0.05508421407
104	0.05407794025
105	0.05300703406
106	0.05215228872
107	0.05136787395
108	0.05028347984
109	0.04918675971
110	0.04855168443
111	0.04773404563
112	0.04695842264
113	0.04631641901
114	0.0455814219
115	0.04440971886
116	0.04358887492
117	0.04273064245
118	0.04177357472
119	0.04129535745
120	0.04061211025
121	0.0400903863
122	0.03929833521
123	0.03860565984
124	0.03811512532
125	0.03751131567
126	0.03666847913
127	0.03618544137
128	0.03523853115
